,,,,
app_id,category_id,parent_category_id,category_name,NAMES
,,,online health communities,
12,200,0200,Helpouts,
13,201,0201,One Medical,
14,202,0202,HealthVault,
,,,,
,,,behavioral Health Wellness,
1,300,0300,Just-in-case,Just-in-case
2,301,0301,Circleof6,
3,302,0302,Guardly,
4,303,0303,LifeLine Response,
5,304,0304,OnWatch™ - The Personal Safety App for College Students,
,,,hospitals,
6,400,0003,Keep Spriggy Safe: Game,
7,401,0003,Childrens On Call,
8,402,0003,MyChart,
9,403,0003,My Way,
10,404,0003,myChildrens,
,,,government,
11,500,0004,PTSD Coach,
15,501,0004,Ask Karen,
