,,,,,,,,,,,,,,,
device_id,device,Platform,,,,,,,,,,,,,
,HTC One (M8),Android KitKat (4.4),,,,,,,,,,,,,
,,,,,,,2013,,,,,,,,
600,Samsung Galaxy S5,Android,,,,,smartphones,,tablets,feature phones,,PC,Notebooks,,platforms
,,,,,,,,,,,,,,,
601,Microsoft Lumia 930,Windows Phone 8.1 operating system,,,,,,,,ZTE,,,,,Android
,,,,,,,,,,,,,,,Ios
,LG G3,Android KitKat operating system,,,,,,,,HUAWEI,,,,,
,,,,,,,,,,,,,,,
,Sony Xperia Z3,Android,,,,,Microsoft,,Surface RT,MOTOROLA ( ? Tablets),,,,,
,,,,,,,,,,,,,,,
602,Motorola Droid Turbo,Android 4.4 Kitkat®,,,,,Google,,Nexus,SONY ERICSSON,,,,,
,,,,,,,,,,,,,,,
603,Apple iPhone 6,IOS 8,,,,,LG,,,LG,,,,,
,,,,,,,,,,,,,,,
604,Apple iPhone 6 Plus,IOS 8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,OnePlus One,Cyanogen mod version of Android,,,,,HTC ?,,,HTC,,,,,
,,,,,,,,,,,,,,,
605,Google Nexus 6,Lollipop Android OS,,,,,,,,Samsung,,,,,
,,,,,,,,,,,,,,,
,BlackBerry Passport,BlackBerry 10 OS,,,,,,,,RIM,,,,,
,,,,,,,,,,,,,,,
,Motorola Moto G (2014),Android,,,,,apple,,iPad,APPLE (iOS),iPhone,,,,
,,,,,,,,,,,,,,,
606,Apple iPad Air 2,IOS 8,,,,,nokia,,,NOKIA,,,,,
,,,,,,,,,,,,,,,
607,Surface 4,Windows 8.1 OS,,,,,samsung,,"tablets
Across all device size (Galaxy)",android,Samsung,,,,
,,,,,,,,,,,,,,,
608,Samsung Galaxy Tab S (10.5),android,,,,,,,,,,,,,
,,,,,,,Blackberry ?,,Amazon,,,,,,
,Lenovo Yoga Tablet 2,Android,,,,,,,,,,Lenovo,Lenovo,,
,,,,,,,,,,,,,,,
609,Google Nexus 9,Android,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,"The integrated experience
of the future
will
include flexible displays, contextually intelligent OS, content bundling, and other
features we haven’t dreamt up yet
.",,,,,,,,
